Variable,Description
POLINFGM,Influence on restricting gmf by elected officials
BIZINFGM,Influence on restricting gmf by business leaders
MEDBSTGM,Best policy on gmf vs narrow interest: medical researcher
POLBSTGM,Best policy on gmf vs narrow interest: elected official
BIZBSTGM,Best policy on gmf vs narrow interest: business leader
EATGM,R's view about eating genetically modified foods
SCIIMP1,How important: done by scientists in univeR'sity settings
SCIIMP2,How important: having advanced degrees in their fields
SCIIMP3,How important: conclusion based on solid evidence
SCIIMP4,How important: examining different interpretation of results
SCIIMP5,How important: results consistent with religious beliefs
SCIIMP6,How important: results consistent with common sense
SCIIMP7,How important: repeating experiment & finding same result
SCIIMP8,How important: research takes place in a laboratory
SOCSCI,How scientific: sociology
PHYSCSCI,How scientific: physics
HISTSCI,How scientific: history
ACCNTSCI,How scientific: accounting
BIOSCI,How scientific: biology
ECONSCI,How scientific: economics
MEDSCI,How scientific: medicine
ENGNRSCI,How scientific: engineering
KNWFORGN,Level of R's information: foreign policy
KNWECON,Level of R's information: economic policy
KNWSCI,Level of R's information: science and technology
KNWGW,Level of R's information: global warming
KNWPOLAR,Level of R's information: the north and south poles
TVBEARS,R would choose TV program about polar bears
TVINUIT,R would choose TV program about native ppl in the arctic
TVOZONE,R would choose TV program about ozone hole over the antarctic
TVMELTNG,R would choose TV program about polar ice melting
TVOIL,R would choose TV program about oil drilling in the arctic
POLARYR1,Intl polar year 07-08:R would watch a TV program
POLARYR2,Intl polar year 07-08:R would read a newspaper article
POLARYR3,Intl polar year 07-08:R would read a magazine article
POLARYR4,Intl polar year 07-08:R would go to museum
POLARYR5,Intl polar year 07-08:R would watch a feature film
POLARYR6,Intl polar year 07-08:R would read a book
POLARYR7,Intl polar year 07-08:R would visit a web site
POLARYR8,Intl polar year 07-08:R would attend a live lecture
ICESHEET,True-false: the north pole is on a sheet of ice
NOSUN,True-false: the sun never shines at the south pole
INUIT,True-false: inuit live north of the arctic circle
HUNTBEAR,True-false: hunting make polar bear extinct than climate change
ICECAPS,Polar ice caps got larger or smaller over last 25 yrs
COMORSCI,Antarctica should be reserved or open
EXTINCT,Effect of global warming: polar beaR's become extinct
SEALEVEL,Effect of global warming: sea level flood coastal areas
ARTSEALS,Effect of global warming: arctic seals are threatened
PENGUINS,Antarctic penguins threatened
INUITWAY,Effect of global warming: inuit no longer follow traditional way of life
NOICECAP,Effect of global warming: northern ice cap melt
CAREMOST,Most concerned possible effect of global warming
NANOTECH,How much R heard about nanotechnology
NANOKNW1,True-false: nanotechnology manipulate extremely small units
NANOKNW2,True-false: nanoscale differ from same material at larger scale
NANOWILL,Benefit of nanotechnology outweigh harmful results
NANOBEN,Balance will be strongly in favor of the benefits or slightly
NANOHARM,Balance will be strongly in favor of the benefits or slightly
SCIMODE,Was SAQ self administered or interview administered
INTINTL,Interested in international issues
INTFARM,Interested in farm issues
INTEDUC,Interested in local school issues
INTSCI,Interested in new scientific discoveries
INTECON,Interested in economic issues
INTTECH,Interested in technologies
INTMED,Interested in medical discoveries
INTSPACE,Interested in space exploration
INTENVIR,Interested in environmental issues
INTMIL,Interested in military policy
SCIINTRO,Which version of science introduction was used
VISART,How often R visited art museum last year
VISNHIST,How often R visited natural history museum last year
VISZOO,How often R visited zoo last year
VISSCI,How often R visited science museum
VISLIB,How often R visited public library last year
SCIMATH,Quality of science & math educ in us is inadequate
ANSCITST,Scientists shld be allowed to do research animals' pain & injury
MABOYGRL,Does mom's gene decide baby's sex
H2OLIFE,What property of water is most important
ANHEAT,Which bodily features be best suited to a small animal living in a cold climate
LFTPLANE,Key factor that enables airplane to lift
STORMTXT,Do you see lightning before hearing thunder
LITMSTXT,Why litmus paper doesn't change color in mixed solution
GOLDFISH,Experiment about goldfish and temperature
SALTH2O,Ocean water for vegetables
EROSION,Example of erosion
GENES,Traits are transferred over generation
GILLS,How fish get oxygen
UPBREATH,Why short breath at the top of a mountain
DAYNIGHT,When did most errors occur
WEIGHING,Which is the best method to report weight of leaf
SEESAND,Which picture shows what she should use for the 2nd pot
FISHEXP1,What is scientist trying to find out from this experiment
FISHEXP2,Why did you choose that answer
MOREMPG,Cars use less gasoline
POLNUKE,How well elected official know risk by nuclear power
BIZNUKE,How well business leader know risk by nuclear power
ENGNUKE,Nuclear engineers understand nuclear power
ENGAGRNK,Engineers agree nuclear power
ENHINFNK,Nuclear engineers how much influence
POLINFNK,Elected officials how much influence
BIZINFNK,Business leaders how much influence
ENGBSTNK,Nuclear engineers best for country
POLBSTNK,Elected officials best for country
BIZBSTNK,Business leaders best for country
NUKEELEC,View about nuclear energy
CLONING,Cloning makes identical copy
SCINEWS1,Newspaper printed or online
SCINEWS2,Magazine printed or online
SCINEWS3,Where online get info
NEWSFRMY,Where news events info
SCIFROMY,Where get science and technology info
SEEKSCIY,Where get science issue news
SCIINFGO,Where online get info
SCIENTDA,Happy if daughter scientist
SCIENTSN,Happy if son scientist
SCIENTR,Consider career in science
SCIENTDO,Know what scientists do
SCIENTAL,Scientists usually work alone
SCIENTDN,Scientific work dangerous
SCIENTGO,Scientists work for good of humanity
SCIENTFU,Scientists don? have fun
SCIENTHE,Scientists help solve prob
SCIENTOD,Scientists odd and peculiar
SCIENTBE,Scientists want to make life better for avg person
SCIENTRE,Scientists not religious
SCIENTWK,Scientists only interested in work
SCIENTMO,Scientists earn less
SCIENTBR,Being a scientist boring
ENGDA,Happy if daughter engineer
ENGSON,Happy if son engineer
ENGRESP,Consider work in engineer field
ENGDO,Know what engineers do
ENGLONE,Engineers usually work alone
ENGDGR,Engineering work dangerous
ENGGOOD,Engineers work for good of humanity
ENGFUN,Engineers don? have fun
ENGPROB,Engineers help solve prob
ENGODD,Engineers odd and peculiar
ENGBTR,Engineers want to make life better for avg person
ENGREL,Engineers not religious
ENGINT,Engineers only interested in work
ENGEARN,Engineers earn less
ENGBRNG,Being engineer boring
FARMING,How scientific is farming
JOURNLSM,How scientific is journalism
FIREFTNG,How scientific is firefighting
MARRCOUN,How scientific is marriage counseling
MEDTREAT,How scientific is medical treatment
ARCHITCT,How scientific is architecture
LAWENFRC,How scientific is law enforcement
ENGNRING,How scientific is engineering
SLSMNSHP,How scientific is salesmanship
CMPRGMNG,How scientific is computer programming
FINLCOUN,How scientific is financial counseling
BUYVALUE,Percent of company stock R bought from own money
OPS2005,Company granted R stock options in 2005
EXTR2005,Received performance based payment in 2005
COMPWAGE,Annual wages in previous year were higher than same jobs in other companies
TALKTEAM,If employee not working: talk directly to the employee
NUMORG,Number of people working in organization at all locations
EMPINPUT,R involved in any task force for decision-making
SLFMANGD,R involved in a self-managed team
EMPTRAIN,Received formal training from employer
WEALTH,Total wealth of respondent
ESOP,R is member of esop
DEFPENSN,R has defined benefit pension plan
TRDESTCK,Company stock publicly traded
BUYESOP,Does employee ownership matter when R thinks about buying from a company
ESOPNOT,Would R rather work for a company with an ESOP or cash sharing
COMPANY,Which company would R prefer to work for
VIGLAB06,X is experiencing alchl dependencedepression schizophrenia
MHTRTOTH,R Personally has known someone who received treatment
MHOTHYOU,How much distress his mental health problem caused r
MHOTHREL,Result of mental health problem to relationship with him
SEEMHPUB,How frequently R sees someone mentally ill in public
GESTTALK,How often R see people making strange gesture in public
AVOIDMH,R changed shopping place due to presence of mentally ill ppl
NUMKNOWN,Variable that drives skips in module
ACQKEVIN,Number of Kevin R is acquainted with
ACQKAREN,Number of Karen R is acquainted with
ACQSHAWN,Number of Shawn R is acquainted with
ACQBRNDA,Number of Brenda R is acquainted with
ACQKEITH,Number of Keith R is acquainted with
ACQRACHL,Number of Rachel R is acquainted with
ACQMARK,Number of Mark R is acquainted with
ACQLINDA,Number of Linda R is acquainted with
ACQJOSE,Number of Jose R is acquainted with
ACQMARIA,Number of Maria R is acquainted with
ACQUNEMP,Number of ppl currently unemployed R is acquainted with
ACQHOME,Number of ppl owning second home R is acquainted with
ACQPRISN,Number of ppl in prison R is acquainted with
ACQASIAN,Number of Asian R is acquainted with
ACQBLACK,Number of black R is acquainted with
ACQHISP,Number of Hispanic R is acquainted with
ACQWHITE,Number of white R is acquainted with
ACQGAY,Number of gay R is acquainted with
ACQCOHAB,Number of cohabiting pplR is acquainted with
ACQGOATT,Number of regular church attendee R is acquainted with
ACQNOATT,Number of non church attendee R is acquainted with
ACQLIB,Number of strong liberal R is acquainted with
ACQCON,Number of strong conservative R is acquainted with
ACQCOPS,Number of police officer R is acquainted with
ACQLAWS,Number of lawyer R is acquainted with
ACQSOCS,Number of social worker R is acquainted with
ACQJANS,Number of janitor R is acquainted with
ACQCHILD,Number of child care worker R is acquainted with
ACQELECS,Number of electrician R is acquainted with
ACQMILS,Number of ppl in military service R is acquainted with
ACQFMMRK,Number of family member named Mark
ACQFMLIN,Number of family member named Linda
ACQFMUNE,Number of unemployed family member
ACQFMHME,Number of family member owning second home
ACQFMPRI,Number of family member in prison
ACQFMASN,Number of Asian family member
ACQFMBLK,Number of black family member
ACQFMHSP,Number of Hispanic family member
ACQFMWHT,Number of white family member
ACQFMGAY,Number of gay family member
ACQFMGO,Number of family member going church regularly
ACQFMNO,Number of family member not going church
ACQFMLIB,Number of liberal in family member
ACQFMCON,Number of conservative in family member
ACQFMCOH,Number of cohabiting family member
ACQNHMRK,Number of Mark in neighborhood
ACQNHLIN,Number of Linda in neighborhood
ACQNHUNE,Number of ppl unemployed in neighborhood
ACQNHHME,Number of ppl owning second home in neighborhood
ACQNHPRI,Number of ppl in prison in neighborhood
ACQNHASN,Number of Asian in neighborhood
ACQNHBLK,Number of black in neighborhood
ACQNHHSP,Number of Hispanic in neighborhood
ACQNHWHT,Number of white in neighborhood
ACQNHGAY,Number of gay in neighborhood
ACQNHGO,Number of regular church attendee in neighborhood
ACQNHNO,Number of non church attendee in neighborhood
ACQNHLIB,Number of liberal in neighborhood
ACQNHCON,Number of conservative in neighborhood
ACQNHCOH,Number of cohabiting ppl in neighborhood
ACQWKMRK,Number of Mark in current or previous work
ACQWKLIN,Number of Linda in current or previous work
ACQWKUNE,Number of ppl unemployed in current or previous work
ACQWKHME,Number of ppl owning second home in current or previous work
ACQWKPRI,Number of ppl in prison in current or previous work
ACQWKASN,Number of Asian in current or previous work
ACQWKBLK,Number of black in current or previous work
ACQWKHSP,Number of Hispanic in current or previous work
ACQWKWHT,Number of white in current or previous work
ACQWKGAY,Number of gay in current or previous work
ACQWKGO,Number of regular church attendee in current or previous work
ACQWKNO,Number of non church attendee in current or previous work
ACQWKLIB,Number of strong liberal in current or previous work
ACQWKCON,Number of strong conservative in current or previous work
ACQWKCOH,Number of cohabiting ppl in current or previous work
ACQVAMRK,Number of Mark in voluntary association
ACQVALIN,Number of Linda in voluntary association
ACQVAUNE,Number of unemployed ppl in voluntary association
ACQVAHME,Number of ppl owning second home in voluntary association
ACQVAPRI,Number of ppl in prison in voluntary association
ACQVAASN,Number of Asian in voluntary association
ACQVABLK,Number of black in voluntary association
ACQVAHSP,Number of Hispanic in voluntary association
ACQVAWHT,Number of white in voluntary association
ACQVAGAY,Number of gay in voluntary association
ACQVAGO,Number of regular church attendee in voluntary association
ACQVANO,Number of non church attendee in voluntary association
ACQVALIB,Number of liberal in voluntary association
ACQVACON,Number of conservative in voluntary association
ACQVACOH,Number of cohabiting ppl in voluntary association
ACQREPS,Number of republican R is acquainted with
ACQDEMS,Number of democrat R is acquainted with
ACQATTND,Number of regular church attendee R is acquainted with
ACQMYRAC,Proportion of same race as R among all acquaintances
TRTKEVIN,Number of Kevin R trust
TRTKAREN,Number of Karen R trust
TRTSHAWN,Number of Shawn R trust
TRTBRNDA,Number ofBrenda R trust
TRTKEITH,Number ofKeith R trust
TRTRACHL,Number ofRachel R trust
TRTMARK,Number ofMark R trust
TRTLINDA,Number ofLinda R trust
TRTJOSE,Number ofJose R trust
TRTMARIA,Number ofMaria R trust
TRTCOPS,Number of police officer R trust
TRTLAWS,Number of lawyer R trust
TRTSOCS,Number of social worker R trust
TRTJANS,Number of janitor R trust
TRTCHILD,Number of child care worker R trust
TRTELECS,Number of electrician R trust
TRTMILS,Number of ppl in military service R trust
TRTUNEMP,Number of ppl unemployed R trust
TRTHOME,Number of ppl owning second homeR trust
TRTPRISN,Number of ppl in prisonR trust
TRTASIAN,Number of Asian R trust
TRTBLACK,Number of black R trust
TRTHISP,Number of Hispanic R trust
TRTWHITE,Number of white R trust
TRTGAY,Number of gay R trust
TRTCOHAB,Number of cohabiting ppl R trust
TRTGOATT,Number of church attendeeR trust
TRTNOATT,Number of non church attendeeR trust
TRTLIB,Number of strong liberalR trust
TRTCON,Number of strong conservativeR trust
TRTREPS,Proportion of republican R trust
TRTDEMS,Proportion of democrat R trust
TRTATTND,Proportion of regular church attendee R trust
TRTMYRAC,Proportion of same race as R among ppl R trust
GUNSALES,Should background check be required for private gun sale
GUNSDRUG,Should penalty for illegal gun sale be tougher than drug
SEMIGUNS,Should semi-auto gun sale be limited to military
GUNS911,Should gun control law be stricter after 911
RIFLES50,Should high power rifle sale be limited to military
OTHGUNS,Number of adult owing a gun in household
GUNSDRNK,Should carrying a firearm drinking alcohol be illegal
SPNATDIS,Should govt spend more or less on natural disasters
NATDISIN,Should helping ppl in natural disaster be govt resp
NATDISCM,Should rebuilding community in disaster be govt resp
NEWSPRNT,How often Does R read traditional newspaper
GETAHEAY,Opinion of why people get ahead
DISABLD1,R has a hearing problem
DISABLD2,R has a vision problem
DISABLD3,R has a physical disability
DISABLD4,R has other physical disability
DISABLD5,R has emotional or mental disability
DISABLD6,R has difficulty in learning remembering or concentrating
DISABLD7,R has difficulty in daily activities
VIGVERMY,Vignette version
MHPROBLM,How serious X s situation is
MHDOFAM,What X should do: talk to family
MHDOFRND,What X should do: talk to friends
MHDOREL,What X should do: talk to relic leader
MHDODOC,What X should do: go to doctor
MHDOPSYC,What X should do: go to psychiatrist
MHDOMHP,What X should do: go to counselor
MHDOHEAL,What X should do: go to spiritual healer
MHDOOTC,What X should do: take non-prescription medication
MHDORX,What X should do: take prescription medication
MHDOHOSP,What X should do: check into a hospital
MHDOPRAY,What X should do: pray
MHDOLIFE,What X should do: change lifestyle
MHDOHERB,What X should do: take herbs
MHDOFRGT,What X should do: try to forget
MHDOACTV,What X should do: get involved in other activities
MHDOGRP,What X should do: get involved in a group
MHDODIET,What X should do: eat better
MHDOEXRC,What X should do: start exercising
MHDOMOVE,What X should do: move to another location
MHDOOTH,What X should do: other mentions
MHDONONE,What X should do: nothing
MHCHRCTR,X s situation caused by: bad character
MHBRAIN,X s situation caused by: brain disease
MHRAISED,X s situation caused by: the way raised
MHSTRESS,X s situation caused by: stress
MHGENES,X s situation caused by: genetic problem
MHGOD,X s situation caused by: god s will
MHLUCK,X s situation caused by: bad luck
MHUPDOWN,X is experiencing normal ups-and-downs of life
MHILLNSS,X is experiencing mental illness
MHPHYSCL,X is experiencing physical illness
MHNEIHBR,R would have X as a neighbor
MHSOCIAL,R would spend time socializing with X
MHKDCARE,R would have X care for your children
MHFRIEND,R would make friends with X
MHWKWITH,R would work closely with X on a job
MHWEDREL,R would have X marry someone related to you
MHIMPOWN,How likely X s situation will improve on its own
MHIMPTRT,How likely X s situation will improve with treatment
MHDECSLF,How able is X to decide whether to receive treatment
MHMONEY,How able is X to decide on managing own money
MHOUTSDR,Getting treatment would make X outsider in community
MHLOSEFR,X would lose friends if people know his her treatment
MHLESSOP,X s opportunities limited if people know his her treatment
MHUNEASY,Being around X would make me feel uncomfortable
MHUNSURE,People like X are unpredictable
MHINTL,People like X are just as intelligent as anyone else
MHNOTPOL,People like X shouldn't be allowed to hold public office
MHHRDTLK,People like X are hard to talk to
MHNOKIDS,People like X shouldn't be allowed to have children
MHCREATV,People like X are more creative than others
MHNERVS,Being around X would make me feel nervous
MHPRDCTV,People like X are just as productive as others
MHFEELEM,X should feel embarrassed
MHTRUSTY,People like X are just as trustworthy as anyone else
MHACCPTD,Person like X has no hope of being accepted as member
MHHIRED,X should be hired like others
MHNOTELL, X should feel afraid to tell about his situation
MHSECRET, X s family better off if kept secret
MHSUPWRK,People like X shouldn't be allowed to supervise others at work
MHNOTCH,People like X shouldn't be allowed to teach children.
MHHLPFAM,How important: turn to family for help
MHHLPFRD,How important: turn to friends for help
MHHLPREL,How important: turn to religious leader
MHHLPGP,How important: go to medical doctor for help
MHHLPPSY,How important: go to psychiatrist for help
MHHLPMHP,How important: go to mental health professional
MHGVTJOB,Govt responsibility: provide job for x
MHGVTHLT,Govt responsibility: provide health care for x
MHGVTHME,Govt responsibility: provide housing for x
MHGVTEDC,Govt responsibility: provide financial help for education
MHGVTDIS,Govt responsibility: provide disability benefits for x
MHSLFSHM,X should be ashamed to receive govt assistance
MHFAMSHM,X family should be ashamed to receive govt assistance
MHSEEDOC,X should be forced to be examined at a clinic by law
MHMEDS,X should be forced to take prescribed medication by law
MHHSPTRT,X should be forced to be hospitalized for treatment by law
MHMNTHSP,X should be forced to go to mental hospital by law
MHVIOOTH,How likely X violent toward other people
MHVIOSLF,How likely X violent toward him herself
MHCAUSE,What caused X s situation
MHTRTOT2,R knows someone who received treatment for mental health
MHDIAGNO,R knows someone who has been diagnosed with a mental health problem
MHCLSOTH,Closeness to person with mental health problem
MHSEROTH,How serious his her mental health problem was
MHHLPOTH,How the treatment helped him/her with mental health problem
MHRESOTH,How much responsibility R had for this person
MHDISOTH,How much distress this person caused R
MHRELOTH,Relationship with this person as a result of mental health problem
MHEXPOTH,Effect of experiences with this person
MHTRTSLF,R have ever personally received treatment for mental health problem
MHSEEPUB,How often R sees someone with mental health problem in public places
MHFRIGHT,How frightening most people are in public places
MHSYMP,How much R feels sympathy for ppl with mental hlth problem in public places
STARTBIZ,R trying to start business
OWNBIZ,R owns business
NUMOWN,Number of businesses you own and manage
YEARBIZ,Year business started
PAIDEMPS,R has paid employees
BIZGROSS,Business revenue last year
BIZSHARE,Percentage ownership R holds
OWNINC,Amt of household income coming from this business
WHYBIZ,Why did R start business
NUMEMPS5,How many people R employs 5 yrs after
SPJREL16,Religion in which spouse raised
SPJOTH16,R's spouse raised Jewish
MAJWOTH,R's mom was Jewish when R was growing up
PAJWOTH,R's dad was Jewish when R was growing up
BMITZVAH,R had bar or bat mitzvah when R was a child
SYNMEM,"R belongs to a synagogue, temple, minyan, or high holiday congregation"
KD1RELIG,Religion of R's child 1
KD2RELIG,Religion of R's child 2
KD3RELIG,Religion of R's child 3
KD4RELIG,Religion of R's child 4
KD5RELIG,Religion of R's child 5
KD6RELIG,Religion of R's child 6
KD7RELIG,Religion of R's child 7
KD8RELIG,Religion of R's child 8
KD1JWOTH,R's child 1 considered Jewish
KD2JWOTH,R's child 2 considered Jewish
KD3JWOTH,R's child 3 considered Jewish
KD4JWOTH,R's child 4 considered Jewish
KD5JWOTH,R's child 5 considered Jewish
DONE911A,Has R developed emergency plans
EFF911A,How effective R thinks developing emergency plans
DONE911B,Has R stockpiled supplies
EFF911B,How effective R thinks stockpiling supplies
DONE911C,Has R purchased things to make them safer
EFF911C,How effective R thinks purchasing things to make them safer
DONE911D,Has R learned where to get more info about terrorism
EFF911D,How effective R thinks learning where to get info about terrorism
DONE911E,Has R duplicated important documents
EFF911E,How effective R thinks duplicating important documents
DONE911F,Has R reduced air travel
EFF911F,How effective R thinks reducing air travel
DONE911G,Has R reduced travel by train
EFF911G,How effective R thinks reducing travel by train
DONE911H,Has R reduced use of public transportation
EFF911H,How effective R thinks reducing use of public transportation
DONE911I,Has R changed mail handling procedures
EFF911I,How effective R thinks changing mail handling procedures
DONE911J,Has R become vigilant of what is going on around R
EFF911J,How effective R thinks becoming vigilant
DONE911K,Has R avoided travel to certain cities
EFF911K,How effective R thinks avoiding travel to certain cities
DONE911L,Has R avoided tall buildings
EFF911L,How effective R thinks avoiding tall buildings
DONE911M,Has R avoided national landmarks
EFF911M,How effective R thinks avoiding national landmarks
DONE911N,Has R done anything else to deal with terrorism
EFF911N,How effective R thinks that is
DONEELSE,Specify what it is R has done
WORK3YRS,How many full time jobs R has in past 3 yrs since 2005
CUREMPYR,How many yrs R worked for current employer
PAYCHNGE,How much Has R pay changed on R's current job since R began
PASTPAY,Was R's starting pay higher/lower/same as earning in previous job
WHYLEAVE,Why R left last job
WHYJBCT1,Why job abolished or laid off
WHYJBCT2,Why job abolished or laid off
LOSEJB12,How likely R will lose job or laid off in next 1 yr
WHYLOSE1,Why that much possibility of job abolished or laid off
WHYLOSE2,Why that much possibility of job abolished or laid off
WHYLOSE3,Why that much possibility of job abolished or laid off
FINDNWJB,How likely R to find job with same/better benefit
MORETRDE,"More trade, less jobs in usa"
NEWJOBS,Jobs created are better than R's current job
LOSTJOBS,Jobs taken away are better than R's current job
WKCOMPTR,Use computer at work
WOCOMPTR,R can do job without computer
AUTONOJB,R heard of persons in R's firm having jobs replaced by computers
MEETF2F1,"How often meet face to face with customers, clients, patients"
MEETF2F2,How often meet face to face with co-workers to work on projects
INTLCOWK,How often exchange info with co-workers located outside usa
LASTYRWK,"Thinking about last full-time job, what yr R worked last"
LEAVEJB,Why did R leave last job
WHYNOJB1,Why job abolished or laid off
WHYNOJB2,Why job abolished or laid off
INCLSTJB,Earnings from all sources for this job
BORNSP,In what country were you born
AGECMEUS,"If born outside usa, what age were you when you permanently moved to usa"
VISA,Do you hold a special visa
TYPEVISA,What kind of visa
NATDEG,In which country did you obtain your highest degree?
EMPHLTH,Do you receive health insurance from employer
EMPHPLAN,Name of insurance or hmo
OTHPLAN,Other name for insurance or hmo policy
SEXSEX18,"Since age 18, have your sex partner's been..."
TOLDSMSX,At what age you first told someone that you had sex with same sex
ATTRACTD,At what age were you first sexually attracted to same sex
TOLDSXOR,At what age you first told someone that you were gay/les/bi
RELGENDR,What is your relationship situation
MARUNION,Legal marital status
SEXUNION,Sex of R's spouse/civil union partner/domestic partner
EVKID,Have ever given birth to/fathered a child
ADOPTKID,Have ever legally adopted a child
KIDLIVED,Children under 18 have ever lived with R under R's care
KIDRESP,R is legally responsible biological/adoptive parent of a child under 18
KIDNOW1,R's children under 18 living with R
KIDNOW2,R is living in a hh where children under 18 are living with R under R's care
TOLDWORK,How many of R's coworkers know R is gay/les/bi
EVLOSEJB,"In life, R has ever been denied a job or fired bc employers believed R was gay/les/bi"
LOSEJOB5,"In last 5 yrs, R has been denied a job or fired bc employer believed R was gay/les/bi"
EVNEGJOB,"In life, R ever been denied promo or recvd bad evaluation bc employr belivd R was gay/les/bi"
NEGJOB5,"In last 5 yrs, R been denied promo or recvd bad evaluation bc employr belivd R was gay/les/bi"
EVHARJB,"In life, R has ever been harassed on job bc R was believed to be gay/les/bi"
HARJOB5,"In last 5 yrs, R has ever been harassed on job bc R was believed to be gay/les/bi"
EVDWELL,"In life, R has ever been prevented from moving bc landlord believed R was gay/les/bi"
DWELL5,"In last 5 yrs, R has been prevented from moving bc landlord believed R was gay/les/bi"
EMPHLTH1,Current employer offer health care insurance to R as employee
EMPHLTH2,Employers coverage
HLTHCOVR,R has health insurance coverage
HLTHTYPE,Source of health insurance
SPPART,R's current insurance plan covers spouse
MYKIDS,R's current insurance plan covers children
OTHKIDS,R's current insurance plan covers children for whom R not a bio/adoptive parent
HARSEXJB,R has been the object of sexual advances/propositions from supervisor's
HARSEXCL,Since 18 R has ever found self the object of sexual advances from religious leaders
OWNCLERG,Did this happen with a leader in congregation R was attending
NUMCLERG,With how many different leaders has this happened to you
OPENREL1,R and leader ever become an openly acknowledged couple
OPENREL2,R and leader ever become an openly acknowledged couple
OPENREL3,R and leader ever become an openly acknowledged couple
COUNSEL1,Leader1 was R's counselor
COUNSEL2,Leader2 was R's counselor
COUNSEL3,Leader3 was R's counselor
CLRGMAR1,Leader1 was married at the time
CLRGMAR2,Leader2 was married at the time
CLRGMAR3,Leader3 was married at the time
CLRGSEX1,R had sexual contact with leader1
CLRGSEX2,R had sexual contact with leader2
CLRGSEX3,R had sexual contact with leader3
CLRGGEN1,Sex of leader1
CLRGGEN2,Sex of leader2
CLRGGEN3,Sex of leader3
ONGOREL1,R had an ongoing relationship with leader1
ONGOREL2,R had an ongoing relationship with leader2
ONGOREL3,R had an ongoing relationship with leader3
HUSHREL1,Leader1 tried to keep R from telling other people about the relationship
HUSHREL2,Leader2 tried to keep R from telling other people about the relationship
HUSHREL3,Leader3 tried to keep R from telling other people about the relationship
TOLDEXP1,R has ever told anyone about experience with leader1
TOLDEXP2,R has ever told anyone about experience with leader2
TOLDEXP3,R has ever told anyone about experience with leader3
TOLDREL1,R ever told any authority in congregation about experience with leader1
TOLDREL2,R ever told any authority in congregation about experience with leader2
TOLDREL3,R ever told any authority in congregation about experience with leader3
KNWCLSEX,R knows other people who were obj of sexual advances
CLSCLSEX,Any of them were close friends or family members
CLRGMODE,Was SAQ self administered or interview administered
PRESPOP,Approve of pres handling job
VOLACTYR,Since last yr any volunteering
VOLACTY2,Done other types of volunteering for child's school or youth org
POLEFY3,Avg citizen influence on politics
POLEFY11,How much say about what govt does
POLEFY13,Understand issues facing country
POLEFY15,How informed about politics
POLEFY16,How often congress keeps promises
POLEFY17,How many govt admins can be trusted to do what's best
RATETONE,R's facial coloring by interviewer
PUBDEF,Should media publish defense plans
PUBECON,Should media publish economic plans?
OBEYLAW,Should people obey laws without exceptn?
PROTEST1,Allow public meetings protesting govt
PROTEST2,Allow publications protesting govt
PROTEST3,Allow demonstrations protesting govt
PROTEST4,Allow occupation of govt office
PROTEST5,Allow damage of govt buildings
PROTEST6,Allow national anti-govt strike
REVSPEAK,Allow revolutionary public meetings
REVTCH15,Allow revolutionaries to teach children
REVPUB,Allow revolutionaries to publish books
RACSPEAK,Allow racists to hold public meetings
RACTCH15,Allow racists to teach 15 yr. olds
RACPUB,Allow racists to publish books
CRIMTAIL,Should police tail a known criminal?
CRIMTAP,Should police tap phone of a criminal?
CRIMREAD,Should police open mail of a criminal?
CRIMHOLD,Should police detain a known criminal?
MANTAIL,Should police tail a suspect?
MANTAP,Should police tap phone of a suspect?
MANREAD,Should police open mail of a suspect?
MANHOLD,Should police detain a suspect?
VERDICT,Worse type of judicial mistake
DATABANK,Computer data threat to individual privacy
PROGTAX,How much income tax should rich pay?
EQINCOME,Govt should redistribute wealth
OPRICH,Child of rich has better opportunity
OPPROF,Child of profssnl has better opportunity
OPFAMILY,Family bkgd determines success in U.S.
FECOLOP,College opportunities for women
FEJOBOP,Job opportunities for women
FEINC,Income for women vs. men with same bkgd
FEHLPBUS,Govt should aid women seeking jobs
FEHLPCOL,Govt should aid women seeking higher ed
FEHLPJOB,Women should be given preference in jobs
HSBASICS,"School subjects: reading, writing, math"
HSSEXED,School subjects: sex education
HSRESPCT,School subjects: respect for authority
HSLIBART,"School subjects: history, liter., arts"
HSJUDGE,School subjects: good judgment
HSJOBTR,School subjects: job training
HSSCI,School subjects: science and technology
HSCARING,School subjects: concern for others
HSORDER,School subjects: discipline and order
COLOP,Should chances for college be changed?
AIDNEEDY,Govt money for low income students
AIDSMART,Govt money for high achieving students
AIDAVG,Gov $ for stdnts with avg inc and grades
KIDDRUGS,Govt intervene: child uses drugs
KIDSKIPS,Govt intervene: child skips school
KIDOUT,Govt intervene: child stays out late
KIDNEEDY,Govt intervene: child is neglected
KIDBEAT,Govt intervene: child is abused
KIDHLTH,Govt intervene: child not givn med trtmt
KIDEDPAR,Govt intervene: child not sent to school
KIDXFILM,Govt intervene: chld allowed to see porn
BELTUP,Govt should require use of seat belts
NOSMOKE,Gov should prohibit smoking in pub areas
MUSTRET,Govt should enforce mandatory retirement
POLEFF1,Public has little control over politics
POLEFF2,Not worth talking to politicians
POLEFF3,Avg person can influence politicians
POLEFF4,Avg person can influence local govt
POLEFF5,People like me have much to say re govt
POLEFF6,Avg person can influence govt decisions
POLEFF7,Govt is generally responsive to public
POLEFF8,I am usually interested in local elections
POLEFF9,People can control world affairs
POLEFF10,The world is getting better
